"codigo_ies_padre","Año","tipo_contrato","cantidad","tipo","Nivel de formacion","dedicacion_sexo"
"3824",2017,"Término Indefinido",0,"tipo_contrato",NA,NA
"3824",2017,"Término fijo",4,"tipo_contrato",NA,NA
"3824",2017,"Horas",23,"tipo_contrato",NA,NA
"3824",2017,"Ocasional",0,"tipo_contrato",NA,NA
"3824",2017,"AD Honorem",0,"tipo_contrato",NA,NA
"3824",2017,"Sin Información",0,"tipo_contrato",NA,NA
"3824",2018,"Término Indefinido",0,"tipo_contrato",NA,NA
"3824",2018,"Término fijo",0,"tipo_contrato",NA,NA
"3824",2018,"Horas",0,"tipo_contrato",NA,NA
"3824",2018,"Ocasional",0,"tipo_contrato",NA,NA
"3824",2018,"AD Honorem",0,"tipo_contrato",NA,NA
"3824",2018,"Sin Información",0,"tipo_contrato",NA,NA
"3824",2019,"Término Indefinido",0,"tipo_contrato",NA,NA
"3824",2019,"Término fijo",0,"tipo_contrato",NA,NA
"3824",2019,"Horas",0,"tipo_contrato",NA,NA
"3824",2019,"Ocasional",0,"tipo_contrato",NA,NA
"3824",2019,"AD Honorem",0,"tipo_contrato",NA,NA
"3824",2019,"Sin Información",0,"tipo_contrato",NA,NA
"3824",2020,"Término Indefinido",0,"tipo_contrato",NA,NA
"3824",2020,"Término fijo",0,"tipo_contrato",NA,NA
"3824",2020,"Horas",0,"tipo_contrato",NA,NA
"3824",2020,"Ocasional",0,"tipo_contrato",NA,NA
"3824",2020,"AD Honorem",0,"tipo_contrato",NA,NA
"3824",2020,"Sin Información",0,"tipo_contrato",NA,NA
"3824",2021,"Término Indefinido",0,"tipo_contrato",NA,NA
"3824",2021,"Término fijo",0,"tipo_contrato",NA,NA
"3824",2021,"Horas",0,"tipo_contrato",NA,NA
"3824",2021,"Ocasional",0,"tipo_contrato",NA,NA
"3824",2021,"AD Honorem",0,"tipo_contrato",NA,NA
"3824",2021,"Sin Información",0,"tipo_contrato",NA,NA
"3824",2022,"Término Indefinido",0,"tipo_contrato",NA,NA
"3824",2022,"Término fijo",0,"tipo_contrato",NA,NA
"3824",2022,"Horas",0,"tipo_contrato",NA,NA
"3824",2022,"Ocasional",0,"tipo_contrato",NA,NA
"3824",2022,"AD Honorem",0,"tipo_contrato",NA,NA
"3824",2022,"Sin Información",0,"tipo_contrato",NA,NA
"3824",2023,"Término Indefinido",2,"tipo_contrato",NA,NA
"3824",2023,"Término fijo",29,"tipo_contrato",NA,NA
"3824",2023,"Horas",73,"tipo_contrato",NA,NA
"3824",2023,"Ocasional",0,"tipo_contrato",NA,NA
"3824",2023,"AD Honorem",0,"tipo_contrato",NA,NA
"3824",2023,"Sin Información",0,"tipo_contrato",NA,NA
"2905",2017,"Término Indefinido",0,"tipo_contrato",NA,NA
"2905",2017,"Término fijo",0,"tipo_contrato",NA,NA
"2905",2017,"Horas",30,"tipo_contrato",NA,NA
"2905",2017,"Ocasional",NA,"tipo_contrato",NA,NA
"2905",2017,"AD Honorem",NA,"tipo_contrato",NA,NA
"2905",2017,"Sin Información",NA,"tipo_contrato",NA,NA
"2905",2018,"Término Indefinido",25,"tipo_contrato",NA,NA
"2905",2018,"Término fijo",0,"tipo_contrato",NA,NA
"2905",2018,"Horas",48,"tipo_contrato",NA,NA
"2905",2018,"Ocasional",NA,"tipo_contrato",NA,NA
"2905",2018,"AD Honorem",NA,"tipo_contrato",NA,NA
"2905",2018,"Sin Información",NA,"tipo_contrato",NA,NA
"2905",2019,"Término Indefinido",25,"tipo_contrato",NA,NA
"2905",2019,"Término fijo",0,"tipo_contrato",NA,NA
"2905",2019,"Horas",52,"tipo_contrato",NA,NA
"2905",2019,"Ocasional",NA,"tipo_contrato",NA,NA
"2905",2019,"AD Honorem",NA,"tipo_contrato",NA,NA
"2905",2019,"Sin Información",NA,"tipo_contrato",NA,NA
"2905",2020,"Término Indefinido",57,"tipo_contrato",NA,NA
"2905",2020,"Término fijo",2,"tipo_contrato",NA,NA
"2905",2020,"Horas",75,"tipo_contrato",NA,NA
"2905",2020,"Ocasional",NA,"tipo_contrato",NA,NA
"2905",2020,"AD Honorem",NA,"tipo_contrato",NA,NA
"2905",2020,"Sin Información",NA,"tipo_contrato",NA,NA
"2905",2021,"Término Indefinido",48,"tipo_contrato",NA,NA
"2905",2021,"Término fijo",19,"tipo_contrato",NA,NA
"2905",2021,"Horas",64,"tipo_contrato",NA,NA
"2905",2021,"Ocasional",NA,"tipo_contrato",NA,NA
"2905",2021,"AD Honorem",NA,"tipo_contrato",NA,NA
"2905",2021,"Sin Información",NA,"tipo_contrato",NA,NA
"2905",2022,"Término Indefinido",42,"tipo_contrato",NA,NA
"2905",2022,"Término fijo",0,"tipo_contrato",NA,NA
"2905",2022,"Horas",77,"tipo_contrato",NA,NA
"2905",2022,"Ocasional",NA,"tipo_contrato",NA,NA
"2905",2022,"AD Honorem",NA,"tipo_contrato",NA,NA
"2905",2022,"Sin Información",NA,"tipo_contrato",NA,NA
"2905",2023,"Término Indefinido",0,"tipo_contrato",NA,NA
"2905",2023,"Término fijo",0,"tipo_contrato",NA,NA
"2905",2023,"Horas",78,"tipo_contrato",NA,NA
"2905",2023,"Ocasional",NA,"tipo_contrato",NA,NA
"2905",2023,"AD Honorem",NA,"tipo_contrato",NA,NA
"2905",2023,"Sin Información",NA,"tipo_contrato",NA,NA
"9934",2017,"Término Indefinido",0,"tipo_contrato",NA,NA
"9934",2017,"Término fijo",0,"tipo_contrato",NA,NA
"9934",2017,"Horas",0,"tipo_contrato",NA,NA
"9934",2017,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2017,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2017,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2018,"Término Indefinido",0,"tipo_contrato",NA,NA
"9934",2018,"Término fijo",0,"tipo_contrato",NA,NA
"9934",2018,"Horas",0,"tipo_contrato",NA,NA
"9934",2018,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2018,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2018,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2019,"Término Indefinido",0,"tipo_contrato",NA,NA
"9934",2019,"Término fijo",8,"tipo_contrato",NA,NA
"9934",2019,"Horas",0,"tipo_contrato",NA,NA
"9934",2019,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2019,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2019,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2020,"Término Indefinido",3,"tipo_contrato",NA,NA
"9934",2020,"Término fijo",9,"tipo_contrato",NA,NA
"9934",2020,"Horas",0,"tipo_contrato",NA,NA
"9934",2020,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2020,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2020,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2021,"Término Indefinido",2,"tipo_contrato",NA,NA
"9934",2021,"Término fijo",9,"tipo_contrato",NA,NA
"9934",2021,"Horas",0,"tipo_contrato",NA,NA
"9934",2021,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2021,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2021,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2022,"Término Indefinido",3,"tipo_contrato",NA,NA
"9934",2022,"Término fijo",12,"tipo_contrato",NA,NA
"9934",2022,"Horas",0,"tipo_contrato",NA,NA
"9934",2022,"Ocasional",0,"tipo_contrato",NA,NA
