"codigo_ies_padre","Nivel de Formación","year","graduados","tipo","Metodología","desercion"
"3824","Técnica Profesional","2013",0,"graduados",NA,NA
"3824","Técnica Profesional","2014",0,"graduados",NA,NA
"3824","Técnica Profesional","2015",0,"graduados",NA,NA
"3824","Técnica Profesional","2016",0,"graduados",NA,NA
"3824","Técnica Profesional","2017",0,"graduados",NA,NA
"3824","Técnica Profesional","2018",0,"graduados",NA,NA
"3824","Técnica Profesional","2019",0,"graduados",NA,NA
"3824","Técnica Profesional","2020",0,"graduados",NA,NA
"3824","Técnica Profesional","2021",0,"graduados",NA,NA
"3824","Técnica Profesional","2022",0,"graduados",NA,NA
"3824","Técnica Profesional","2023",0,"graduados",NA,NA
"3824","Tecnológica","2013",80,"graduados",NA,NA
"3824","Tecnológica","2014",115,"graduados",NA,NA
"3824","Tecnológica","2015",132,"graduados",NA,NA
"3824","Tecnológica","2016",88,"graduados",NA,NA
"3824","Tecnológica","2017",92,"graduados",NA,NA
"3824","Tecnológica","2018",0,"graduados",NA,NA
"3824","Tecnológica","2019",0,"graduados",NA,NA
"3824","Tecnológica","2020",0,"graduados",NA,NA
"3824","Tecnológica","2021",13,"graduados",NA,NA
"3824","Tecnológica","2022",0,"graduados",NA,NA
"3824","Tecnológica","2023",2,"graduados",NA,NA
"3824","Universitaria","2013",0,"graduados",NA,NA
"3824","Universitaria","2014",0,"graduados",NA,NA
"3824","Universitaria","2015",0,"graduados",NA,NA
"3824","Universitaria","2016",0,"graduados",NA,NA
"3824","Universitaria","2017",0,"graduados",NA,NA
"3824","Universitaria","2018",0,"graduados",NA,NA
"3824","Universitaria","2019",0,"graduados",NA,NA
"3824","Universitaria","2020",0,"graduados",NA,NA
"3824","Universitaria","2021",0,"graduados",NA,NA
"3824","Universitaria","2022",0,"graduados",NA,NA
"3824","Universitaria","2023",0,"graduados",NA,NA
"3824","Especialización","2013",3,"graduados",NA,NA
"3824","Especialización","2014",11,"graduados",NA,NA
