"anio";"semestre";"periodo";"tipo";"total";"Tasa_Selectividad";"Tasa_Absorción";"Tasa_Conversion_Aspirantes_Matriculados"
2015;1;"20151";"Aspirantes";0;NA;NA;NA
2015;1;"20151";"Admitidos";0;NA;NA;NA
2015;1;"20151";"Matriculados_Nuevos";0;NA;NA;NA
2015;1;"20151";"Matriculados_Totales";4298;NA;NA;NA
2015;2;"20152";"Aspirantes";0;NA;NA;NA
2015;2;"20152";"Admitidos";0;NA;NA;NA
2015;2;"20152";"Matriculados_Nuevos";0;NA;NA;NA
2015;2;"20152";"Matriculados_Totales";4868;NA;NA;NA
2016;1;"20161";"Aspirantes";3683;65,7073038284008;35,8264462809917;23,54059190877
2016;1;"20161";"Admitidos";2420;65,7073038284008;35,8264462809917;23,54059190877
2016;1;"20161";"Matriculados_Nuevos";867;65,7073038284008;35,8264462809917;23,54059190877
2016;1;"20161";"Matriculados_Totales";5326;65,7073038284008;35,8264462809917;23,54059190877
2016;2;"20162";"Aspirantes";2909;67,4114816088003;31,2595614482407;21,0725335166724
2016;2;"20162";"Admitidos";1961;67,4114816088003;31,2595614482407;21,0725335166724
2016;2;"20162";"Matriculados_Nuevos";613;67,4114816088003;31,2595614482407;21,0725335166724
2016;2;"20162";"Matriculados_Totales";5204;67,4114816088003;31,2595614482407;21,0725335166724
2017;1;"20171";"Aspirantes";1972;115,922920892495;37,7077865266842;43,711967545639
2017;1;"20171";"Admitidos";2286;115,922920892495;37,7077865266842;43,711967545639
2017;1;"20171";"Matriculados_Nuevos";862;115,922920892495;37,7077865266842;43,711967545639
2017;1;"20171";"Matriculados_Totales";5604;115,922920892495;37,7077865266842;43,711967545639
2017;2;"20172";"Aspirantes";1800;99,8333333333333;52,754590984975;52,6666666666667
2017;2;"20172";"Admitidos";1797;99,8333333333333;52,754590984975;52,6666666666667
2017;2;"20172";"Matriculados_Nuevos";948;99,8333333333333;52,754590984975;52,6666666666667
2017;2;"20172";"Matriculados_Totales";5717;99,8333333333333;52,754590984975;52,6666666666667
2018;1;"20181";"Aspirantes";2278;100,351185250219;54,8993875765529;55,0921861281826
2018;1;"20181";"Admitidos";2286;100,351185250219;54,8993875765529;55,0921861281826
2018;1;"20181";"Matriculados_Nuevos";1255;100,351185250219;54,8993875765529;55,0921861281826
2018;1;"20181";"Matriculados_Totales";6057;100,351185250219;54,8993875765529;55,0921861281826
2018;2;"20182";"Aspirantes";3462;63,8648180242634;48,5300768882858;30,9936452917389
2018;2;"20182";"Admitidos";2211;63,8648180242634;48,5300768882858;30,9936452917389
2018;2;"20182";"Matriculados_Nuevos";1073;63,8648180242634;48,5300768882858;30,9936452917389
2018;2;"20182";"Matriculados_Totales";6480;63,8648180242634;48,5300768882858;30,9936452917389
2019;1;"20191";"Aspirantes";4521;57,2218535722185;47,0042520293777;26,896704268967
2019;1;"20191";"Admitidos";2587;57,2218535722185;47,0042520293777;26,896704268967
2019;1;"20191";"Matriculados_Nuevos";1216;57,2218535722185;47,0042520293777;26,896704268967
2019;1;"20191";"Matriculados_Totales";6974;57,2218535722185;47,0042520293777;26,896704268967
2019;2;"20192";"Aspirantes";4079;56,7295905859279;45,7649092480553;25,9622456484432
2019;2;"20192";"Admitidos";2314;56,7295905859279;45,7649092480553;25,9622456484432
2019;2;"20192";"Matriculados_Nuevos";1059;56,7295905859279;45,7649092480553;25,9622456484432
2019;2;"20192";"Matriculados_Totales";7374;56,7295905859279;45,7649092480553;25,9622456484432
2020;1;"20201";"Aspirantes";4902;49,4900040799674;40,8903544929926;20,2366381068951
2020;1;"20201";"Admitidos";2426;49,4900040799674;40,8903544929926;20,2366381068951
2020;1;"20201";"Matriculados_Nuevos";992;49,4900040799674;40,8903544929926;20,2366381068951
2020;1;"20201";"Matriculados_Totales";7290;49,4900040799674;40,8903544929926;20,2366381068951
2020;2;"20202";"Aspirantes";3854;53,2433834976648;52,4366471734893;27,9190451478983
2020;2;"20202";"Admitidos";2052;53,2433834976648;52,4366471734893;27,9190451478983
2020;2;"20202";"Matriculados_Nuevos";1076;53,2433834976648;52,4366471734893;27,9190451478983
2020;2;"20202";"Matriculados_Totales";7577;53,2433834976648;52,4366471734893;27,9190451478983
2021;1;"20211";"Aspirantes";5241;47,0520892959359;44,6066504460665;20,9883609998092
2021;1;"20211";"Admitidos";2466;47,0520892959359;44,6066504460665;20,9883609998092
2021;1;"20211";"Matriculados_Nuevos";1100;47,0520892959359;44,6066504460665;20,9883609998092
2021;1;"20211";"Matriculados_Totales";7748;47,0520892959359;44,6066504460665;20,9883609998092
2021;2;"20212";"Aspirantes";5269;40,539001708104;46,1142322097378;18,6942493831847
2021;2;"20212";"Admitidos";2136;40,539001708104;46,1142322097378;18,6942493831847
2021;2;"20212";"Matriculados_Nuevos";985;40,539001708104;46,1142322097378;18,6942493831847
2021;2;"20212";"Matriculados_Totales";7583;40,539001708104;46,1142322097378;18,6942493831847
2022;1;"20221";"Aspirantes";4908;43,5004074979625;40,8430913348946;17,7669111654442
2022;1;"20221";"Admitidos";2135;43,5004074979625;40,8430913348946;17,7669111654442
2022;1;"20221";"Matriculados_Nuevos";872;43,5004074979625;40,8430913348946;17,7669111654442
2022;1;"20221";"Matriculados_Totales";7275;43,5004074979625;40,8430913348946;17,7669111654442
2022;2;"20222";"Aspirantes";5030;45,2087475149105;44,1512752858399;19,9602385685885
2022;2;"20222";"Admitidos";2274;45,2087475149105;44,1512752858399;19,9602385685885
2022;2;"20222";"Matriculados_Nuevos";1004;45,2087475149105;44,1512752858399;19,9602385685885
2022;2;"20222";"Matriculados_Totales";7247;45,2087475149105;44,1512752858399;19,9602385685885
2023;1;"20231";"Aspirantes";6375;42,6980392156863;39,0154298310066;16,6588235294118
2023;1;"20231";"Admitidos";2722;42,6980392156863;39,0154298310066;16,6588235294118
2023;1;"20231";"Matriculados_Nuevos";1062;42,6980392156863;39,0154298310066;16,6588235294118
2023;1;"20231";"Matriculados_Totales";7660;42,6980392156863;39,0154298310066;16,6588235294118
2023;2;"20232";"Aspirantes";4921;44,1373704531599;46,6850828729282;20,605567973989
2023;2;"20232";"Admitidos";2172;44,1373704531599;46,6850828729282;20,605567973989
2023;2;"20232";"Matriculados_Nuevos";1014;44,1373704531599;46,6850828729282;20,605567973989
